year,category,winner,entity
1930,DIRECTING,FALSE,Cimarron
1930,DIRECTING,FALSE,A Free Soul
1930,DIRECTING,FALSE,The Front Page
1930,DIRECTING,FALSE,Morocco
1930,DIRECTING,TRUE,Skippy
1931,DIRECTING,TRUE,Bad Girl
1931,DIRECTING,FALSE,The Champ
1931,DIRECTING,FALSE,Shanghai Express
1932,DIRECTING,TRUE,Cavalcade
1932,DIRECTING,FALSE,Lady for a Day
1932,DIRECTING,FALSE,Little Women
1934,DIRECTING,TRUE,It Happened One Night
1934,DIRECTING,FALSE,One Night of Love
1934,DIRECTING,FALSE,The Thin Man
1935,DIRECTING,FALSE,Captain Blood
1935,DIRECTING,TRUE,The Informer
1935,DIRECTING,FALSE,The Lives of a Bengal Lancer
1935,DIRECTING,FALSE,Mutiny on the Bounty
1936,DIRECTING,FALSE,Dodsworth
1936,DIRECTING,FALSE,The Great Ziegfeld
1936,DIRECTING,TRUE,Mr. Deeds Goes to Town
1936,DIRECTING,FALSE,My Man Godfrey
1936,DIRECTING,FALSE,San Francisco
1937,DIRECTING,TRUE,The Awful Truth
1937,DIRECTING,FALSE,The Good Earth
1937,DIRECTING,FALSE,The Life of Emile Zola
1937,DIRECTING,FALSE,Stage Door
1937,DIRECTING,FALSE,A Star Is Born
1938,DIRECTING,FALSE,Angels with Dirty Faces
1938,DIRECTING,FALSE,Boys Town
1938,DIRECTING,FALSE,The Citadel
1938,DIRECTING,FALSE,Four Daughters
1938,DIRECTING,TRUE,You Can't Take It with You
1939,DIRECTING,TRUE,Gone with the Wind
1939,DIRECTING,FALSE,"Goodbye, Mr. Chips"
1939,DIRECTING,FALSE,Mr. Smith Goes to Washington
1939,DIRECTING,FALSE,Stagecoach
1939,DIRECTING,FALSE,Wuthering Heights
1940,DIRECTING,TRUE,The Grapes of Wrath
1940,DIRECTING,FALSE,Kitty Foyle
1940,DIRECTING,FALSE,The Letter
1940,DIRECTING,FALSE,The Philadelphia Story
1940,DIRECTING,FALSE,Rebecca
1941,DIRECTING,FALSE,Citizen Kane
1941,DIRECTING,FALSE,Here Comes Mr. Jordan
1941,DIRECTING,TRUE,How Green Was My Valley
1941,DIRECTING,FALSE,The Little Foxes
1941,DIRECTING,FALSE,Sergeant York
1942,DIRECTING,FALSE,Kings Row
1942,DIRECTING,TRUE,Mrs. Miniver
1942,DIRECTING,FALSE,Random Harvest
1942,DIRECTING,FALSE,Wake Island
1942,DIRECTING,FALSE,Yankee Doodle Dandy
1943,DIRECTING,TRUE,Casablanca
1943,DIRECTING,FALSE,Heaven Can Wait
1943,DIRECTING,FALSE,The Human Comedy
1943,DIRECTING,FALSE,The More the Merrier
1943,DIRECTING,FALSE,The Song of Bernadette
1944,DIRECTING,FALSE,Double Indemnity
1944,DIRECTING,TRUE,Going My Way
1944,DIRECTING,FALSE,Laura
1944,DIRECTING,FALSE,Lifeboat
1944,DIRECTING,FALSE,Wilson
1944,BEST MOTION PICTURE,FALSE,Double Indemnity
1944,BEST MOTION PICTURE,FALSE,Gaslight
1944,BEST MOTION PICTURE,TRUE,Going My Way
1944,BEST MOTION PICTURE,FALSE,Since You Went Away
1944,BEST MOTION PICTURE,FALSE,Wilson
1945,DIRECTING,FALSE,The Bells of St. Mary's
1945,DIRECTING,TRUE,The Lost Weekend
1945,DIRECTING,FALSE,National Velvet
1945,DIRECTING,FALSE,The Southerner
1945,DIRECTING,FALSE,Spellbound
1945,BEST MOTION PICTURE,FALSE,Anchors Aweigh
1945,BEST MOTION PICTURE,FALSE,The Bells of St. Mary's
1945,BEST MOTION PICTURE,TRUE,The Lost Weekend
1945,BEST MOTION PICTURE,FALSE,Mildred Pierce
1945,BEST MOTION PICTURE,FALSE,Spellbound
1946,DIRECTING,TRUE,The Best Years of Our Lives
1946,DIRECTING,FALSE,Brief Encounter
1946,DIRECTING,FALSE,It's a Wonderful Life
1946,DIRECTING,FALSE,The Killers
1946,DIRECTING,FALSE,The Yearling
1946,BEST MOTION PICTURE,TRUE,The Best Years of Our Lives
1946,BEST MOTION PICTURE,FALSE,Henry V
1946,BEST MOTION PICTURE,FALSE,It's a Wonderful Life
1946,BEST MOTION PICTURE,FALSE,The Razor's Edge
1946,BEST MOTION PICTURE,FALSE,The Yearling
1947,DIRECTING,FALSE,The Bishop's Wife
1947,DIRECTING,FALSE,Crossfire
1947,DIRECTING,FALSE,A Double Life
1947,DIRECTING,TRUE,Gentleman's Agreement
1947,DIRECTING,FALSE,Great Expectations
1947,BEST MOTION PICTURE,FALSE,The Bishop's Wife
1947,BEST MOTION PICTURE,FALSE,Crossfire
1947,BEST MOTION PICTURE,TRUE,Gentleman's Agreement
1947,BEST MOTION PICTURE,FALSE,Great Expectations
1947,BEST MOTION PICTURE,FALSE,Miracle on 34th Street
1948,DIRECTING,FALSE,Hamlet
1948,DIRECTING,FALSE,Johnny Belinda
