,title,rank,cluster,genre,year,foreign,language,country
2,Cimarron,70.0,2,"['Drama', 'Western']",1930,0,"['English', 'French']",['US']
0,The Front Page,76.0,0,['Comedy'],1930,0,['English'],['US']
0,It Happened One Night,87.0,0,"['Comedy', 'Romance']",1934,0,['English'],['US']
1,The Informer,61.0,1,"['Action', 'Drama', 'Thriller', 'Crime']",1935,0,"['English', 'Spanish', 'Polish']",['GB']
0,Mutiny on the Bounty,87.0,0,"['Adventure', 'Biography', 'Drama', 'History', 'Romance']",1935,0,"['English', 'qah']",['US']
2,The Awful Truth,87.0,2,"['Comedy', 'Romance']",1937,0,"['English', 'French', 'Italian']",['US']
1,Gone with the Wind,97.0,1,"['Drama', 'History', 'Romance', 'War']",1939,0,['English'],['USA']
1,Stagecoach,93.0,1,"['Adventure', 'Drama', 'Western']",1939,0,"['English', 'French', 'Spanish']",['US']
2,The Grapes of Wrath,96.0,2,"['Drama', 'History']",1940,0,['English'],['US']
1,The Philadelphia Story,96.0,1,"['Comedy', 'Romance']",1940,0,"['English', 'French']",['US']
4,Citizen Kane,,4,"['Drama', 'Mystery']",1941,0,['English'],['USA']
4,Random Harvest,62.0,4,"['Drama', 'Romance']",1942,0,['English'],['US']
0,Yankee Doodle Dandy,89.0,0,"['Biography', 'Drama', 'Musical']",1942,0,['English'],['US']
0,Casablanca,,0,"['Drama', 'Romance', 'War']",1943,0,"['English', 'German', 'French', 'Italian']",['USA']
0,Double Indemnity,95.0,0,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Film-Noir']",1944,0,['English'],['US']
1,Lifeboat,78.0,1,"['Drama', 'War']",1944,0,"['English', 'German', 'French']",['US']
2,Mildred Pierce,88.0,2,"['Drama', 'Mystery', 'Romance', 'Crime', 'Film-Noir']",1945,0,['English'],['US']
4,The Best Years of Our Lives,93.0,4,"['Drama', 'Romance', 'War']",1946,0,['English'],['US']
0,Brief Encounter,92.0,0,"['Drama', 'Romance']",1946,0,"['English', 'French']",['GB']
0,It's a Wonderful Life,89.0,0,"['Drama', 'Fantasy', 'Family']",1946,0,['English'],['USA']
0,The Yearling,89.0,0,"['Drama', 'Western', 'Family']",1946,0,['English'],['US']
2,The Bishop's Wife,72.0,2,"['Drama', 'Fantasy', 'Comedy', 'Romance']",1947,0,"['English', 'French']",['US']
3,Miracle on 34th Street,88.0,3,"['Drama', 'Comedy', 'Family']",1947,0,"['English', 'Dutch']",['US']
4,The Search,37.0,4,['Drama'],1948,0,"['English', 'French', 'Russian', 'Chechen']","['France', 'Georgia']"
3,The Treasure of the Sierra Madre,98.0,3,"['Adventure', 'Drama', 'Western']",1948,0,"['English', 'Spanish']",['US']
3,All About Eve,98.0,3,['Drama'],1950,0,"['English', 'French']",['US']
3,The Third Man,97.0,3,"['Mystery', 'Thriller', 'Film-Noir']",1950,0,"['English', 'German', 'Russian']",['GB']
4,The African Queen,91.0,4,"['Adventure', 'Drama', 'Romance', 'War']",1951,0,"['English', 'German', 'Swahili']","['GB', 'US']"
3,An American in Paris,83.0,3,"['Drama', 'Romance', 'Musical']",1951,0,"['English', 'German', 'French']",['US']
