name,year,competition_category,winner,url,summary,countries,languages,genre,metascore
Cimarron,1930,DIRECTING,FALSE,https://www.metacritic.com/movie/cimarron/details,A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.,['US'],"['English', 'French']","['Drama', 'Western']",70
The Front Page,1930,DIRECTING,FALSE,https://www.metacritic.com/movie/the-front-page/details,An investigative reporter sees an opportunity for the story of a lifetime when an accused murderer escapes hanging.,['US'],['English'],['Comedy'],76
It Happened One Night,1934,DIRECTING,TRUE,https://www.metacritic.com/movie/it-happened-one-night/details,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,['US'],['English'],"['Comedy', 'Romance']",87
Mutiny on the Bounty,1935,DIRECTING,FALSE,https://www.metacritic.com/movie/mutiny-on-the-bounty/details,"A tyrannical ship captain decides to exact revenge on his abused crew after they form a mutiny against him, but the sailor he targets had no hand in it.",['US'],"['English', 'qah']","['Adventure', 'Biography', 'Drama', 'History', 'Romance']",87
The Awful Truth,1937,DIRECTING,TRUE,https://www.metacritic.com/movie/the-awful-truth/details,"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",['US'],"['English', 'French', 'Italian']","['Comedy', 'Romance']",87
Gone with the Wind,1939,DIRECTING,TRUE,https://www.metacritic.com/movie/gone-with-the-wind/details,"A Southern belle struggles with the devastation of the Civil War and Reconstruction. This classic won 8 Academy Awards, including Best Picture.",['USA'],['English'],"['Drama', 'History', 'Romance', 'War']",97
Stagecoach,1939,DIRECTING,FALSE,https://www.metacritic.com/movie/stagecoach/details,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,['US'],"['English', 'French', 'Spanish']","['Adventure', 'Drama', 'Western']",93
The Grapes of Wrath,1940,DIRECTING,TRUE,https://www.metacritic.com/movie/the-grapes-of-wrath/details,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",['US'],['English'],"['Drama', 'History']",96
The Philadelphia Story,1940,DIRECTING,FALSE,https://www.metacritic.com/movie/the-philadelphia-story/details,"When a rich woman's ex-husband (Cary Grant) and a tabloid-type reporter (James Stewart) turn up just before her planned remarriage, she (Katherine Hepburn) begins to learn the truth about herself.",['US'],"['English', 'French']","['Comedy', 'Romance']",96
Rebecca,1940,DIRECTING,FALSE,https://www.metacritic.com/movie/rebecca-1940/details,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,['US'],"['English', 'French']","['Drama', 'Mystery', 'Thriller', 'Romance']",86
Citizen Kane,1941,DIRECTING,FALSE,https://www.metacritic.com/movie/citizen-kane-1941/details,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",['USA'],['English'],"['Drama', 'Mystery']",None
Random Harvest,1942,DIRECTING,FALSE,https://www.metacritic.com/movie/random-harvest/details,"An amnesiac World War I veteran falls in love with a music hall star, only to suffer an accident which restores his original memories but erases his post-war life.",['US'],['English'],"['Drama', 'Romance']",62
Yankee Doodle Dandy,1942,DIRECTING,FALSE,https://www.metacritic.com/movie/yankee-doodle-dandy/details,"The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan.",['US'],['English'],"['Biography', 'Drama', 'Musical']",89
Casablanca,1943,DIRECTING,TRUE,https://www.metacritic.com/movie/casablanca/details,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.",['USA'],"['English', 'German', 'French', 'Italian']","['Drama', 'Romance', 'War']",None
Double Indemnity,1944,DIRECTING,FALSE,https://www.metacritic.com/movie/double-indemnity/details,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,['US'],['English'],"['Drama', 'Mystery', 'Thriller', 'Crime', 'Film-Noir']",95
Lifeboat,1944,DIRECTING,FALSE,https://www.metacritic.com/movie/lifeboat/details,Several survivors of a torpedoed ship find themselves in the same boat with one of the men who sunk it.,['US'],"['English', 'German', 'French']","['Drama', 'War']",78
Mildred Pierce,1945,BEST MOTION PICTURE,FALSE,https://www.metacritic.com/movie/mildred-pierce/details,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,['US'],['English'],"['Drama', 'Mystery', 'Romance', 'Crime', 'Film-Noir']",88
The Best Years of Our Lives,1946,DIRECTING,TRUE,https://www.metacritic.com/movie/the-best-years-of-our-lives/details,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,['US'],['English'],"['Drama', 'Romance', 'War']",93
Brief Encounter,1946,DIRECTING,FALSE,https://www.metacritic.com/movie/brief-encounter/details,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",['GB'],"['English', 'French']","['Drama', 'Romance']",92
It's a Wonderful Life,1946,DIRECTING,FALSE,https://www.metacritic.com/movie/its-a-wonderful-life/details,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,['USA'],['English'],"['Drama', 'Fantasy', 'Family']",89
